Patron Type Definition,Total Checkouts,Total Renewals,Circulation Active Year
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,69,21,2016
1,5,10,2014
1,35,15,2010
1,5,0,2016
1,0,0,0
1,4,9,2016
1,1,5,2013
1,3,0,2016
1,5,0,2013
1,50,71,2014
1,58,5,2016
1,10,12,2016
1,17,0,2013
1,7,11,2013
1,3,0,2010
1,48,24,2014
1,81,10,2016
1,43,25,2016
1,2,0,2014
1,64,92,2014
1,135,9,2015
1,4,3,2016
1,8,1,2013
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,51,6,2014
1,12,17,2010
1,6,0,2016
1,4,3,2016
1,18,19,2014
1,2163,2238,2016
1,3072,1391,2016
1,10,2,2016
1,56,27,2015
1,178,159,2013
1,1372,1122,2016
1,60,8,2016
1,1,1,2016
1,79,105,2016
1,0,0,0
0,59,7,2008
1,51,24,2014
1,93,5,2013
1,140,119,2015
1,68,32,2013
1,1,0,2015
1,1716,1996,2016
1,1086,425,2016
1,5,9,2015
1,4,0,2016
1,48,36,2016
1,18,7,2015
1,871,137,2016
1,18,24,2012
1,2,1,2015
1,0,0,2014
1,0,0,2016
1,0,0,2016
1,85,1,2015
1,109,56,2016
1,203,160,2015
1,59,95,2015
0,1,1,2014
1,6,1,2014
1,160,56,2016
1,6,0,2013
1,3,0,2016
1,99,38,2016
1,1,0,2014
1,103,18,2016
1,173,348,2016
1,1,0,2014
1,36,0,2015
1,1,0,2016
1,138,6,2015
1,196,77,2016
1,15,14,2016
1,49,22,2016
1,103,57,2016
1,0,0,0
1,14,5,2014
1,3,1,2009
1,9,0,2015
1,834,182,2016
0,1,4,2016
1,14,1,2008
1,0,0,0
1,328,56,2016
1,17,17,2011
1,1,0,2014
1,19,0,2015
1,23,1,2014
1,54,0,2016
1,174,4,2014
1,99,126,2016
1,193,246,2013
0,0,0,0
1,0,0,2014
1,0,0,2014
1,0,0,2014
1,172,68,2013
1,283,71,2010
1,11,24,2014
1,23,0,2012
1,0,0,0
1,39,1,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
