Library_Full_Name,Ontario_Library_Service_Region,Type_of_Library_Service,City/Town,No_of_Active_Library_Cardholders,Total_Operating_Revenues,Physical_materials,Electronic_materials,Librarians,Library_Technicians,Total_circulation_of_all_library_materials,No_of_standard_reference_transactions,No_of_electronic_reference_transactions,No_of_Readers_Advisory_transactions,Number_of_technology_support_requests
Timmins,Ontario Library Service - North,Public or Union Library,Timmins,11532,2148454,80697,39841,4,4,2838,43,29,20,55
Tiny Twp,Southern Ontario Library Service,Contracting Municipality,Perkinsfield,0,162220,0,0,0,0,0,0,0,0,0
Toronto,Toronto,Public or Union Library,Toronto,938277,239793392,10311154,11083391,487,0,499858,12760,297,3076,13833
Trent Hills,Southern Ontario Library Service,Public or Union Library,Campbellford,8253,671071,47532,14617,1,0,1489,113,21,55,31
Trent Lakes,Southern Ontario Library Service,Public or Union Library,Buckhorn,1115,320481,23842,9063,1,0,400,3,2,4,6
Tudor & Cashel Twp,Southern Ontario Library Service,Public or Union Library,Gilmour,372,12564,50,0,0,0,20,0,0,2,5
Tweed,Southern Ontario Library Service,Public or Union Library,Tweed,1226,199056,15589,2646,0,0,466,10,22,8,19
Tyendinaga Twp,Southern Ontario Library Service,Public or Union Library,Shannonville,1099,244796,6937,1469,0,0,392,0,0,0,0
Uxbridge Twp,Southern Ontario Library Service,Public or Union Library,Uxbridge,4512,954095,51753,14802,0,0,2143,91,7,58,56
Val Rita-Harty Twp,Ontario Library Service - North,Public or Union Library,Val Rita,126,46962,2200,637,0,0,18,2,0,8,0
Vaughan,Southern Ontario Library Service,Public or Union Library,Vaughan,78982,23313198,971691,834572,53,31,50938,2726,531,826,1825
Wahta Mohawk FN,Southern Ontario Library Service,First Nations Library,Bala,45,14194,196,0,1,0,2,2,4,1,3
Wainfleet Twp,Southern Ontario Library Service,Public or Union Library,Wainfleet,3004,488763,21500,4200,0,0,737,170,2,37,3
Wasaga Beach,Southern Ontario Library Service,Public or Union Library,Wasaga Beach,9955,1301016,44243,20229,1,1,2487,17,21,40,25
Wasauksing FN,Ontario Library Service - North,First Nations Library,Parry Sound,340,14399,1,0,0,0,1,0,0,0,0
Waterloo City,Southern Ontario Library Service,Public or Union Library,Waterloo,58803,8128446,639028,367149,5,1,33184,568,8,290,227
Waterloo Region,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Baden,16180,3335524,112205,134834,6,1,8377,50,5,106,52
Wawa,Ontario Library Service - North,Public or Union Library,Wawa,486,258015,19363,3587,0,0,116,13,7,21,4
Welland,Southern Ontario Library Service,Public or Union Library,Welland,10366,2662242,146184,152857,4,5,18687,959,71,73,138
Wellington County,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Fergus,24927,9709435,462957,294140,11,11,17686,122,15,143,127
West Grey Twp,Southern Ontario Library Service,Public or Union Library,Durham,1487,554210,26319,10399,0,1,921,317,0,11,33
West Lincoln Twp,Southern Ontario Library Service,Public or Union Library,Smithville,2089,858102,36121,15095,2,2,1391,46,4,8,13
West Nipissing,Ontario Library Service - North,Public or Union Library,Sturgeon Falls,2981,522074,30992,11212,0,0,1099,29,0,39,25
West Perth,Southern Ontario Library Service,Public or Union Library,Mitchell,1383,367808,21000,8500,1,0,1330,108,20,80,25
Westport,Southern Ontario Library Service,Public or Union Library,Westport,485,43421,3341,0,0,0,125,1,0,2,1
Whitby,Southern Ontario Library Service,Public or Union Library,Whitby,49507,7231361,324521,798987,9,3,21690,28,1,15,23
Whitchurch-Stouffville,Southern Ontario Library Service,Public or Union Library,Stouffville,18257,2892329,209889,121939,5,3,14519,76,3,6,40
White River Twp,Ontario Library Service - North,Public or Union Library,White River,240,54644,4297,3631,0,0,293,2,0,0,0
Whitefish River FN,Ontario Library Service - North,First Nations Library,Birch Island,91,42094,620,0,0,0,8,3,4,0,2
Whitestone-Hagerman Memorial,Ontario Library Service - North,Public or Union Library,Dunchurch,766,155094,7031,3526,0,0,259,17,0,15,20
Whitewater Region,Southern Ontario Library Service,Public or Union Library,Beachburg,2209,107827,19276,4356,0,0,343,5,1,4,2
Windsor,Southern Ontario Library Service,Public or Union Library,Windsor,98129,9422561,517361,619198,20,1,21436,1144,220,162,548
Wollaston,Southern Ontario Library Service,Public or Union Library,Coe Hill,271,49258,3000,2689,0,0,70,2,0,0,5
Woodstock,Southern Ontario Library Service,Public or Union Library,Woodstock,10817,2923353,273104,67903,10,1,5882,203,3,100,121
